MSOA code,house price
E02002719,245498 
E02002720,202500 
E02002721,175500 
E02002722,116250 
E02002723,104000 
E02002724,105000 
E02002725,210000 
E02006814,150000 
E02006891,182000 
E02006892,140000 
E02005750,244975 
E02005751,250000 
E02005752,245000 
E02005753,177000 
E02005754,218000 
E02005755,210000 
E02005756,297000 
E02005757,192000 
E02005758,240000 
E02005759,290000 
E02005760,296500 
E02005761,301250 
E02005762,285000 
E02005763,320000 
E02005764,195000 
E02005765,294995 
E02005766,290000 
E02005767,426250 
E02005768,334950 
E02005769,212750 
E02005770,206500 
E02005771,204500 
E02005772,309000 
E02005773,215000 
E02005774,210000 
E02005775,252500 
E02005776,365000 
E02005777,325000 
E02005778,383500 
E02005779,329950 
E02005780,380000 
E02005781,427475 
E02002652,162748 
E02002653,75000 
E02002654,71000 
E02002655,104000 
E02002656,125000 
E02002657,118000 
E02002658,132250 
E02002659,88500 
E02002660,118000 
E02002661,117500 
E02002662,130000 
E02002663,138000 
E02002664,144000 
E02002665,142000 
E02002666,90500 
E02002667,101875 
E02002668,83000 
E02002669,111660 
E02002670,114000 
E02002671,120000 
E02002672,78000 
E02002673,87000 
E02002674,115000 
E02002675,76000 
E02002676,100000 
E02002677,106500 
E02002678,98600 
E02002679,130000 
E02002680,109000 
E02002681,62000 
E02002682,133995 
E02006813,119950 
E02002271,180000 
E02002272,121500 
E02002273,172500 
E02002274,169950 
E02002275,155000 
E02002276,131750 
E02002277,132000 
E02002278,198450 
E02002279,125000 
E02002280,101500 
E02002281,125000 
E02002282,102750 
E02002283,105000 
E02002284,150000 
