MSOA Code,Cases1,Cases2,Cases3,NUK,O65,Bame,HP,OO,OML,SR,PR,NP,Density,Geo,IMD,Health,Income,AS,Employment,Education,Crime,Environment
E02000071,156.8,1242.6,2746.5,10.36986301,0.188884763,0.15109589,327750,32.8,44.1,11.4,10,2.7,43.52909483,-0.7652,17.6524,-0.5178,0.1176,0.3722,0.084,24.7074,0.108,21.1378
E02000072,329.8,1035.2,1641.2,19.78012613,0.142688988,0.287455258,305500,12.2,28.7,44.2,13.5,2.1,64.85156913,0.057,31.80085714,0.207571429,0.200571429,0.396857143,0.141142857,31.59714286,0.335428571,16.748
E02000073,350.1,1169.6,2228.6,11.10593062,0.083441982,0.161973144,410000,42.4,46.8,4.1,5.6,1.8,29.80342857,-0.430142857,8.347428571,-0.922142857,0.054,0.329142857,0.051857143,13.49285714,-0.631285714,16.53585714
E02000074,334.1,1197.8,2165.1,12.50163292,0.19209872,0.178576094,290000,19.8,32.1,36.1,8.4,1.7,67.86875,0.3682,29.85,-0.054,0.1956,0.4192,0.1398,34.8198,-0.0364,17.3182
E02000075,97.3,1021.7,2505.8,9.109209864,0.137164574,0.115626573,420000,46.3,41.9,5.5,5.4,1.6,76.90876882,-0.454,9.1746,-0.8834,0.0622,0.3288,0.0564,15.0714,-0.7234,17.2224
E02000077,377.3,1387.9,1960.1,12.52716349,0.236345943,0.171289787,380000,34.1,46.7,9.6,8.2,2.4,53.55700326,-0.509,12.4078,-0.7126,0.0792,0.3652,0.0624,19.3264,-0.3422,21.262
E02000078,328.2,1350.7,2398.4,7.38421396,0.163257852,0.093672538,350000,38,48.6,4.2,7.9,1.5,73.53625783,-0.0606,10.4048,-0.9388,0.0634,0.3154,0.0532,15.4028,-0.4132,19.2206
E02000079,672.8,1026.5,2771.5,12.40940877,0.191365817,0.134138589,350000,38,40.3,4,16.1,2.7,53.23924731,-0.257,12.9704,-0.5542,0.0874,0.286,0.0606,9.572,0.158,22.3094
E02000080,135.4,1180.2,2079.7,14.5281018,0.195597628,0.18504772,383000,38.4,42.6,6.2,11.1,3,53.2038835,-0.6675,11.51616667,-0.873833333,0.074333333,0.357833333,0.053166667,16.72933333,-0.223333333,22.25983333
E02000081,247.4,1224.2,2436.3,8.691601225,0.167827433,0.104485558,351250,37.4,39.1,14.1,8.3,1.9,61.09929078,-0.0062,16.2214,-0.4914,0.0906,0.3568,0.0786,19.1742,0.1898,20.8816
E02000082,281.7,1257.1,2806.7,10.17350158,0.203438041,0.125844975,370500,39.6,50.2,0.5,8.1,2.7,36.65457842,-0.005833333,8.834666667,-0.753333333,0.047166667,0.342833333,0.038,15.799,-0.574333333,21.07183333
E02000083,250.7,1530.2,1642.5,10.25483574,0.166558301,0.121174905,311450,27.1,43.3,17.9,10.4,2.1,61.60213618,-0.075833333,21.50583333,-0.2725,0.124166667,0.359333333,0.098166667,25.55983333,0.237666667,26.39083333
E02000084,162.4,1028.7,2508.8,10.14002443,0.133644537,0.129029227,417500,40.3,45.8,4.2,8.4,1.9,30.93875368,0.043571429,9.082857143,-0.934,0.054857143,0.314428571,0.046,11.63357143,-0.325428571,19.79514286
E02000085,174.1,1628.5,2337.1,8.298492335,0.191589207,0.099835297,347000,36.1,48.9,4.4,9.6,2.5,42.71781033,-0.4598,11.4782,-0.7622,0.072,0.3622,0.0508,20.0028,-0.3006,23.3318
E02000086,206,1236,2307.3,7.478165939,0.169070114,0.074372271,394995,39.6,50.3,0.8,8.3,1.6,49.5320197,-0.2818,7.5032,-0.984,0.0454,0.3374,0.0422,13.833,-0.5418,16.904
E02000087,199.1,1344.4,1805,9.077714738,0.19228128,0.103311783,455000,45.7,39.1,4,10.1,2.5,48.89858966,-0.035,7.6986,-0.9124,0.0454,0.2594,0.0412,6.5988,-0.1798,17.8522
E02000088,243.7,974.6,1923.5,8.116841153,0.215610606,0.081943906,415000,41.9,47,3.3,7,1.7,21.61733046,0.0174,8.983,-0.928,0.0512,0.3188,0.048,13.2788,-0.4734,15.9504
E02000089,666.4,1114.8,2716.5,7.272260054,0.193767633,0.076063215,457000,41.4,46.7,5.1,5.8,1.4,39.00950475,-0.3248,7.9212,-0.7404,0.0522,0.3098,0.0504,12.6792,-0.81,14.432
