MSOA11CD,all_bame_prop
E02000796,0.304373121
E02000797,0.100874051
E02000798,0.159954407
E02000799,0.100077942
E02000800,0.169560185
E02000801,0.085502421
E02000802,0.102712317
E02000803,0.162884841
E02000804,0.093160709
E02000805,0.114176695
E02000806,0.113069604
E02000807,0.321664862
E02000808,0.358932103
E02000809,0.293911707
E02000810,0.38648294
E02000812,0.479980564
E02000813,0.415085555
E02000814,0.328594545
E02000815,0.50330922
E02000816,0.373659184
E02000817,0.412380659
E02000818,0.46548978
E02000819,0.499819603
E02000820,0.445489827
E02000821,0.638325781
E02000822,0.595734188
E02000823,0.510927195
E02000824,0.701086957
E02000825,0.739765779
E02000826,0.571332133
E02000827,0.629211314
E02000828,0.677203865
E02000829,0.586004428
E02000830,0.390529876
E02000831,0.43463425
E02000832,0.560040161
E02000833,0.524822695
E02000834,0.29796717
E02000835,0.386263129
E02000836,0.258859223
E02000837,0.187341772
E02000838,0.302069717
E02000839,0.361249378
E02000840,0.251988741
E02000841,0.272560486
E02000842,0.225280459
E02000843,0.203202135
E02000844,0.192184085
E02000845,0.199052667
E02000846,0.219339288
E02000847,0.16924301
E02000848,0.177462289
E02000849,0.193453574
E02000850,0.235134349
E02000851,0.24909964
E02000852,0.17110573
E02000853,0.209035827
E02000854,0.126601887
E02000855,0.16977013
E02000856,0.226516634
E02000857,0.261859583
E02000858,0.273696528
E02000859,0.184690753
E02000860,0.26783364
E02000861,0.172468988
E02000863,0.237003298
E02000864,0.448113776
E02000865,0.530563041
E02000866,0.345166632
E02000867,0.421063416
E02000868,0.455669481
E02000869,0.436985101
E02000870,0.459780763
E02000871,0.719823071
E02000872,0.510598587
E02000873,0.574773327
E02000874,0.662926077
E02000875,0.652436441
E02000876,0.623276965
E02000877,0.679689891
E02000878,0.547345907
E02000879,0.593266964
E02000880,0.635387812
E02000881,0.652337531
E02000882,0.704207345
E02000883,0.622767296
E02000884,0.580343385
E02000885,0.697026831
E02000886,0.505323505
E02000887,0.621939954
E02000888,0.600365186
E02000889,0.495012092
E02000890,0.23986195
E02000891,0.547562707
E02000893,0.424001179
E02000894,0.42655618
E02000895,0.218573756
E02000896,0.138983435
E02000897,0.238950105
E02000898,0.257419355
E02000899,0.278030303
E02000900,0.419386746
E02000901,0.228897663
E02000902,0.446604301
E02000903,0.526263408
E02000904,0.476178901
E02000905,0.49932214
E02000906,0.491025087
E02000907,0.551510302
E02000908,0.495435527
E02000909,0.441666667
E02000910,0.539166199
E02000911,0.545897719
E02000912,0.597856679
E02000913,0.588444751
E02000914,0.679252407
E02000915,0.460372556
E02000916,0.611070111
E02000917,0.530912659
E02000918,0.518628096
E02000919,0.557965514
E02000920,0.636881528
E02000921,0.599400055
E02000922,0.560391523
E02000923,0.206449023
E02000924,0.436618453
E02000925,0.396279307
E02000926,0.272045658
E02000927,0.245949926
E02000928,0.11066446
E02000929,0.540332555
E02000930,0.207627119
E02000931,0.128864763
E02000932,0.158022533
E02000933,0.166268079
E02000934,0.23250961
E02000935,0.358832117
E02000936,0.206362545
E02000937,0.128689798
E02000938,0.287135973
E02000939,0.136922691
E02000940,0.373580089
E02000941,0.174127351
E02000942,0.20693223
E02000943,0.205546299
E02000944,0.385234527
E02000945,0.346456693
E02000946,0.27527004
E02000947,0.182132565
E02000948,0.254530728
E02000949,0.175930648
E02000950,0.266429137
E02000951,0.28556391
E02000952,0.275371584
E02000953,0.283032185
E02000954,0.475657178
E02000955,0.535001489
E02000956,0.509798832
E02000957,0.475871187
E02000958,0.40055616
E02000959,0.466196599
E02000960,0.387160121
E02000961,0.374920568
E02000962,0.447820037
E02000963,0.529383383
E02000964,0.500597657
E02000965,0.340326881
E02000966,0.298619695
E02000967,0.393469612
E02000968,0.615475693
E02000969,0.573051774
E02000970,0.268284537
E02000971,0.363820171
E02000972,0.325333013
E02000973,0.304063429
E02000974,0.477939504
E02000975,0.337901108
E02000976,0.369897446
E02000977,0.306809079
E02000978,0.304422869
E02000979,0.263704987
E02000980,0.32058959
E02000981,0.208653098
E02000982,0.357160224
E02000983,0.297486365
E02006782,0.231694561
E02006783,0.410932297
E02006784,0.422068216
E02006785,0.178258145
E02006786,0.417029301
E02006787,0.155254148
E02006788,0.498271277
E02006789,0.040603609
E02006791,0.243182834
E02006792,0.243417133
E02006793,0.588908846
E02006794,0.601286614
E02006795,0.694731659
E02006796,0.278976061
E02006798,0.623741388
E02006799,0.378946289
E02006800,0.752314638
E02006801,0.402425442
E02006802,0.430875276
E02006836,0.231680774
E02006853,0.543601359
E02006854,0.481387047
E02006882,0.728587555
E02006918,0.601497832
E02006921,0.504390496
E02006924,0.75399061
E02006925,0.710067215
E02006927,0.29055923
E02006928,0.41424874
E02006929,0.379706275
E02006930,0.22085048
E02006931,0.26747224
